source,entry_time,exit_time,entry_price,exit_price,direction,pnl
BACKTEST,2025-12-28 21:11:00,2025-12-28 21:21:00,87522.1,87530.75,LONG,17.29999999998836
BACKTEST,2025-12-28 21:29:00,2025-12-28 21:36:00,87538.73,87592.66,LONG,107.86000000001512
BACKTEST,2025-12-28 21:40:00,2025-12-28 21:44:00,87576.11,87587.22,LONG,22.220000000001164
BACKTEST,2025-12-28 21:45:00,2025-12-28 21:51:00,87587.22,87580.5,LONG,-13.440000000002328
BACKTEST,2025-12-28 21:52:00,2025-12-28 22:05:00,87580.5,87566.22,LONG,-28.55999999999767
BACKTEST,2025-12-28 22:06:00,2025-12-28 22:27:00,87566.22,87596.4,LONG,60.35999999998603
LIVE,2025-12-29 18:12:00,2025-12-29 18:26:00,87788.15,87739.77,LONG,-0.0483799999999901
LIVE,2025-12-29 18:27:00,2025-12-29 18:38:00,87720.0,87713.82,LONG,-0.006179999999993
LIVE,2025-12-29 19:02:00,2025-12-29 19:03:00,87470.0,87350.01,LONG,-0.1199900000000052
LIVE,2025-12-29 20:05:00,2025-12-29 20:14:00,87439.57,87487.47,LONG,0.0478999999999941
LIVE,2025-12-29 20:16:00,2025-12-29 20:21:00,87597.58,87386.24,LONG,-0.2113399999999965
LIVE,2025-12-29 20:35:00,2025-12-29 20:36:00,87346.85,87354.52,LONG,0.0076699999999982
